,state,date,h,mae
534,CA,2020-06-20,2,28908.453125
535,CA,2020-06-20,3,24373.00390625
536,CA,2020-06-27,0,645.3359375
537,CA,2020-06-27,1,18821.55078125
538,CA,2020-06-27,2,12487.86328125
539,CA,2020-06-27,3,14868.4140625
540,CA,2020-07-04,0,17352.0234375
541,CA,2020-07-04,1,10357.9609375
542,CA,2020-07-04,2,12391.80078125
543,CA,2020-07-04,3,6508.7421875
544,CA,2020-07-11,0,11145.3515625
545,CA,2020-07-11,1,15258.2265625
546,CA,2020-07-11,2,27446.796875
547,CA,2020-07-11,3,43195.203125
548,CA,2020-07-18,0,15993.7890625
549,CA,2020-07-18,1,25766.328125
550,CA,2020-07-18,2,40085.96875
551,CA,2020-07-18,3,24150.203125
552,CA,2020-07-25,0,22897.0078125
553,CA,2020-07-25,1,38211.6796875
554,CA,2020-07-25,2,23592.078125
555,CA,2020-07-25,3,40725.453125
556,CA,2020-08-01,0,23372.2109375
557,CA,2020-08-01,1,6166.140625
558,CA,2020-08-01,2,23142.5078125
559,CA,2020-08-01,3,32800.8046875
560,CA,2020-08-08,0,7419.6015625
561,CA,2020-08-08,1,7381.7421875
562,CA,2020-08-08,2,15020.65625
563,CA,2020-08-08,3,19365.35546875
564,CA,2020-08-15,0,18035.41796875
565,CA,2020-08-15,1,28608.8828125
566,CA,2020-08-15,2,34021.3671875
567,CA,2020-08-15,3,44591.359375
568,CA,2020-08-22,0,24923.3984375
569,CA,2020-08-22,1,28372.1171875
570,CA,2020-08-22,2,36893.8359375
571,CA,2020-08-22,3,36237.921875
572,CA,2020-08-29,0,11372.69921875
573,CA,2020-08-29,1,18197.45703125
574,CA,2020-08-29,2,15986.875
575,CA,2020-08-29,3,15272.5
576,CA,2020-09-05,0,14643.59375
577,CA,2020-09-05,1,12382.02734375
578,CA,2020-09-05,2,12135.09375
579,CA,2020-09-05,3,13789.453125
580,CA,2020-09-12,0,4452.35546875
581,CA,2020-09-12,1,2428.326171875
582,CA,2020-09-12,2,3193.9453125
583,CA,2020-09-12,3,1608.3828125
584,CA,2020-09-19,0,2614.87890625
585,CA,2020-09-19,1,4155.205078125
586,CA,2020-09-19,2,3150.2109375
587,CA,2020-09-19,3,4497.494140625
588,CA,2020-09-26,0,7759.31640625
589,CA,2020-09-26,1,7471.58203125
590,CA,2020-09-26,2,9340.2109375
591,CA,2020-09-26,3,458.791015625
592,CA,2020-10-03,0,5116.8671875
593,CA,2020-10-03,1,6817.0546875
594,CA,2020-10-03,2,1900.693359375
595,CA,2020-10-03,3,196.759765625
596,CA,2020-10-10,0,7394.421875
597,CA,2020-10-10,1,1029.48828125
598,CA,2020-10-10,2,839.3125
599,CA,2020-10-10,3,7270.611328125
600,CA,2020-10-17,0,4283.322265625
601,CA,2020-10-17,1,2990.0859375
602,CA,2020-10-17,2,11904.41796875
603,CA,2020-10-17,3,29464.1015625
604,CA,2020-10-24,0,6457.9609375
605,CA,2020-10-24,1,653.57421875
606,CA,2020-10-24,2,14021.87890625
607,CA,2020-10-24,3,39462.14453125
608,CA,2020-10-31,0,1090.41796875
609,CA,2020-10-31,1,13533.9921875
610,CA,2020-10-31,2,39213.734375
611,CA,2020-10-31,3,51356.01171875
612,CA,2020-11-07,0,54662.19418668747
613,CA,2020-11-07,1,82427.19710302353
614,CA,2020-11-07,2,96282.19644737244
615,CA,2020-11-07,3,137406.20996522903
616,CA,2020-11-14,0,13744.09375
617,CA,2020-11-14,1,18350.609375
618,CA,2020-11-14,2,53417.421875
619,CA,2020-11-14,3,127632.71875
620,CA,2020-11-21,0,18978.359375
621,CA,2020-11-21,1,3036.0
622,CA,2020-11-21,2,51936.5625
623,CA,2020-11-21,3,115451.75
624,CA,2020-11-28,0,787.46875
625,CA,2020-11-28,1,60853.421875
626,CA,2020-11-28,2,127521.65625
627,CA,2020-11-28,3,108825.890625
628,CA,2020-12-05,0,46754.65625
629,CA,2020-12-05,1,104185.421875
630,CA,2020-12-05,2,77059.171875
631,CA,2020-12-05,3,56947.46875
632,CA,2020-12-12,0,45016.078125
633,CA,2020-12-12,1,9812.40625
634,CA,2020-12-12,2,51765.65625
635,CA,2020-12-12,3,52565.0625
636,CA,2020-12-19,0,109920.25
637,CA,2020-12-19,1,185866.625
638,CA,2020-12-19,2,213037.0625
639,CA,2020-12-19,3,243933.9375
640,CO,2020-05-16,0,306.92138671875
641,CO,2020-05-16,1,310.5888671875
642,CO,2020-05-16,2,547.602294921875
643,CO,2020-05-16,3,1051.385498046875
644,CO,2020-05-23,0,476.47802734375
645,CO,2020-05-23,1,917.6416015625
646,CO,2020-05-23,2,1563.81201171875
647,CO,2020-05-23,3,1457.576416015625
648,CO,2020-05-30,0,779.626220703125
649,CO,2020-05-30,1,1490.964599609375
650,CO,2020-05-30,2,1484.369140625
651,CO,2020-05-30,3,1227.162841796875
652,CO,2020-06-06,0,888.5478515625
653,CO,2020-06-06,1,680.197265625
