                     date locationtest  value abbreviation location  population
location_name                                                                  
New Hampshire  2020-01-24           33      0           NH       33   1359711.0
New Hampshire  2020-01-25           33      0           NH       33   1359711.0
New Hampshire  2020-01-26           33      0           NH       33   1359711.0
New Hampshire  2020-01-27           33      0           NH       33   1359711.0
New Hampshire  2020-01-28           33      0           NH       33   1359711.0
...                   ...          ...    ...          ...      ...         ...
New Hampshire  2021-01-07           33    423           NH       33   1359711.0
New Hampshire  2021-01-08           33    891           NH       33   1359711.0
New Hampshire  2021-01-09           33    719           NH       33   1359711.0
New Hampshire  2021-01-10           33    729           NH       33   1359711.0
New Hampshire  2021-01-11           33    707           NH       33   1359711.0

[354 rows x 6 columns]

                    mean       std    median      5.0%     95.0%     n_eff     r_hat
   beta_1[151]      0.01      0.00      0.01      0.00      0.01   2013.18      1.00
   beta_1[152]      0.01      0.00      0.01      0.00      0.01   2170.91      1.00
   beta_1[153]      0.01      0.00      0.01      0.00      0.01   2213.58      1.00
   beta_1[154]      0.01      0.00      0.01      0.00      0.01   1849.69      1.00
   beta_1[155]      0.01      0.00      0.01      0.00      0.01   2459.76      1.00
   beta_1[156]      0.00      0.00      0.00      0.00      0.01   2351.14      1.00
   beta_1[157]      0.00      0.00      0.00      0.00      0.01   2583.42      1.00
   beta_1[158]      0.00      0.00      0.00      0.00      0.01   2407.79      1.00
   beta_1[159]      0.00      0.00      0.00      0.00      0.01   2512.93      1.00
   beta_1[160]      0.00      0.00      0.00      0.00      0.01   2328.61      1.00
   beta_1[161]      0.00      0.00      0.00      0.00      0.01   1978.71      1.00
   beta_1[162]      0.00      0.00      0.00      0.00      0.01   1972.22      1.00
   beta_1[163]      0.00      0.00      0.00      0.00      0.01   2068.23      1.00
   beta_1[164]      0.00      0.00      0.00      0.00      0.01   2143.65      1.00
   beta_1[165]      0.00      0.00      0.00      0.00      0.01   1964.98      1.00
   beta_1[166]      0.00      0.00      0.00      0.00      0.00   2076.01      1.00
   beta_1[167]      0.00      0.00      0.00      0.00      0.00   1974.14      1.00
   beta_1[168]      0.00      0.00      0.00      0.00      0.00   2064.14      1.00
   beta_1[169]      0.00      0.00      0.00     -0.00      0.00   2062.14      1.00
   beta_1[170]      0.00      0.00      0.00     -0.00      0.00   1912.89      1.00
   beta_1[171]      0.00      0.00      0.00     -0.00      0.00   1934.30      1.00
   beta_1[172]      0.00      0.00      0.00     -0.00      0.00   1941.67      1.00
   beta_1[173]      0.00      0.00      0.00     -0.00      0.00   2266.47      1.00
   beta_1[174]      0.00      0.00      0.00     -0.00      0.00   2332.57      1.00
   beta_1[175]      0.00      0.00      0.00     -0.00      0.00   2365.06      1.00
   beta_1[176]      0.00      0.00      0.00     -0.00      0.00   2323.56      1.00
   beta_1[177]      0.00      0.00      0.00     -0.00      0.00   2145.66      1.00
   beta_1[178]      0.00      0.00      0.00     -0.00      0.00   2127.52      1.00
   beta_1[179]      0.00      0.00      0.00      0.00      0.00   2195.72      1.00
   beta_1[180]      0.00      0.00      0.00      0.00      0.00   2296.96      1.00
   beta_1[181]      0.00      0.00      0.00      0.00      0.00   2303.66      1.00
   beta_1[182]      0.00      0.00      0.00      0.00      0.00   2322.97      1.00
   beta_1[183]      0.00      0.00      0.00      0.00      0.00   2065.37      1.00
   beta_1[184]      0.00      0.00      0.00     -0.00      0.00   2340.36      1.00
   beta_1[185]      0.00      0.00      0.00     -0.00      0.00   2000.71      1.00
   beta_1[186]      0.00      0.00      0.00     -0.00      0.00   2072.37      1.00
   beta_1[187]      0.00      0.00      0.00     -0.00      0.00   2233.36      1.00
   beta_1[188]      0.00      0.00      0.00     -0.00      0.00   2307.45      1.00
   beta_1[189]      0.00      0.00      0.00     -0.00      0.00   2409.68      1.00
   beta_1[190]      0.00      0.00      0.00     -0.00      0.00   2077.57      1.00
  transform[0]     -0.01      1.03     -0.01     -1.83      1.56   1931.96      1.00

Number of divergences: 33
